카테고리,키워드,질문
취미,게임,"gta5 스토리 모드를 다깼는데요 모두 다시해보고 싶어서 새 게임 눌러서 하려는데 새 게임 누르면 이전에 다 깬 스토리모드는 저장이 되나요? 아니면 새 게임이 되는 동시에 이전 스토리가 저장 되나요?
]"
취미,게임,"제가 신들의 장난 스위치 게임을 실물로 사고싶은데
제가 게임 사는건 처음이고 잘몰라서 일단 메루카리에서 찾아봤는데 이거 게임맞나요? 맞다면 스위치에서 할수있나요?"
취미,게임,"19-20년도쯤에 한창 했던 게임인데 도무지 기억이 안나네요.
사진과 같이 캐릭터를 배치할 수 있고,
게임 시작시에는 모두 별1개로 시작했다가 같은 레벨의 같은 캐릭터 3개를 모으면 합체시켜 별2개로 진화시킬수있고 최종 별3개까지 키워서 상대팀과 싸우는 게임 이엏는데....
제목 아시는 분 계실까요?"
취미,게임,"작년에 나온 엘지그램360 14인치형 학업용으로 사용 중이다가 게임도 깔고싶어서요,
게임용으로 사용하기엔 안좋은 노트북인 걸 알지만ㅠ 마인크래프트나 스타듀밸리 같은 게임 하는 것도 무리일까요?
노트북 자체에 렉이 걸리거나 발열이 많이 심해지거나 할까요?"
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,안녕하세요!일단 저희는 Btv를 쓰고 있는데 홈에서 내려가면 게임&앱 있는데 거기서 게임 몇개를 다운 받았습니다!근데 다운 받고 보니 이게 유료 일수도 있다는 생각 들어서 이렇게 글 남겨요!부모님 한테 말안하고 다운 받은건데 무료 맞나요?뭐 돈내는거 결제 이런거 안뜨고 다운만 떠서 다운 했더니 그냥 게임이 되더라구요?!?열기랑 삭제 둘다 있는데 어케해야하죠?만약 유료면 삭제하면 돈 안나가나요?진짜 궁금해요ㅠ또 말없이 결제 한거면 부모님께 혼날수도 있거든요ㅠ
취미,게임,
취미,게임,"우리나라에서 살 수있는 미국 보드게임을 사고싶어요
루미큐브나 할리갈리 같은 대표적인 보드게임이면 좋겠어요
20000원이하 가격이면 좋겠어요ㅜㅜ"
취미,게임,"노트북으로 친구랑 게임하려고 하는데
물불게임같이 2인용 게임 없나요?
추천해주세오"
취미,게임,
취미,게임,모바일로 할수있는 야구게임중에서 제일 퀄리티높고 현실성 높은게임 알려주세요
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,"마이크로 소프트에서 게임을 찾다가 게임패스를 발견했는데 궁금한게 있어서 물어봅니다

1) pc전용은 콘솔없어도 가능한 거 맞죠?
2)게임패스를 사면 거기 안에 들어있는 게임은 무료인건가요? 아니면 할인을 해주는 건가요??"
취미,게임,
취미,게임,"알고리즘에 갑자기 이 게임 떠서 봤는데 무슨게임인지 궁금해요
게임 리뷰도 보고싶은데 스팀에 검색해도 안나오고 못찾겠네요...
이거 뭔게임인지 제목 좀 알려주세요"
취미,게임,"모바일 게임패드 하나 사서 모바일로 엑스박스 게임하고싶은데
플레이스토어에서 게임패스 다운받아서 결제하면 게임이 가능한가요??"
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,
취미,게임,"제가 게임을 찾고있는데
슬픈 스토리게임인데 딸 아니면 아들중 한명만 선택할 수 있어요. 그리고 하다보면 어떤 친구와 잘 지냈는데 점점 소외되는 스토리였어요 그리고 음식도 줘야하고 옷고 갈아입히고 씻겨야하는 게임이였어요"
취미,게임,"아이폰 게임이였는데, 처음에는 검사 법사? 등 직업을 선택 할 수 있고 남녀 선택 후 캐릭터 얼굴과 머리색 등을 마음대로 꾸민다음 시작하는 삼국지? 비슷한 전투게임이였는데
이 게임이 어떤 이름의 게임인지 알려주세요!"
취미,게임,
취미,게임,"제가 패스오브엑자일이란 게임을 하는데

자주 가는 피시방에 안깔려있어서

설치 하려면 한세월이라서 가지고 있는 외장SSD에 설치해서 하려는데 실행이 안되네요(다른 스팀게임은 이 피시방에서 외장SSD로 실행해서 게임플레이 해봤어료)

제 생각에 다음게임 스타터 관련해서 문제가 있는거 같은데(한국섭 아닌 해외섭은 실행가능 되더라구요)

이거 해결책 아시는분 있을까요?"
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,
취미,게임,"공 게임인데 이름이 ball? ballon?인가?? 게임 종류는 깃발 뺏기, 좀비게임?? 등등이 있었던 것 같아요 그리고 블랙홀을 먹으면 공이 커져요! 게임 이름 좀 알려주세요ㅠㅠㅠㅠㅠㅠㅠ 사진처럼 게임 프로필?이 나와있어요"
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,"안녕하세요! 닌텐도게임을 좋아하는 유저입니다.
닌텐도칩중에서 여성향 역하렘게임들은 전부 일본어 미번역인것같아서 아직 사질못하고있는데요..혹시 한국어로번역된
닌텐도 여성향게임칩이 있을까요??있다면 가격도 알려주세요.. 참고로 좋아하는 게임칩은 디어볼릭러버즈,암네시아월드,여성향게임의 파멸플레그..등등 역하렘좋아합니다!
꼭 역하렘이아니더라도 연애?하는게임이면 다 좋아요!
닌텐도 Ds칩도 상관없어요!"
취미,게임,"친구들이랑 같이 게임을 하는데 하나만 하니까 너무 질리더라고요 ㅋㅋ
같이 할만한 협동 게임 없나요? 되도록 픽셀 그래픽에 서바이벌이면 좋겠어요!!
가격은 1~2만원대로 생각하고 있습니다. 유튜브에 찾아봤는데 별로 끌리는 게 없더라고요 ㅎㅎ..
같이 할만한 게임 추천 부탁드립니다 :)

* 테라리아랑 Don't starve는 이미 다 해봤습니다"
취미,게임,
취미,게임,"장르:리듬게임, 스포츠, 레이싱,
무과금으로 쉽게 할 수 있는 게임 추천해주세요"
취미,게임,
취미,게임,
취미,게임,
취미,게임,"제목 그대로 게임 헤드셋 추천해주세요!
남동생이 선물 사주려고하는데 뭐가좋은지 잘 모르겠어서요 ㅠㅠ

남동생이 주로 하는 게임이 발로란트, 피파, 오버워치 같더라구요!

현재 제가 봐둔게 로지텍 g pro랑 커세어 HS80 RGB 인데 이거 말고도 괜찮은 헤드셋이 있다면 추천 좀 해주세요!"
취미,게임,
취미,게임,
취미,게임,"이노트북으로 테일즈런너라는 게임 깔아서
하면 할수 있을까요!? 어차피 게임 켜놓기만 할거라서요"
취미,게임,모바일 무과금으로 할만한 RPG게임 추천 해주세요 약간 캐릭터가 귀엽거나 아니면 이 게임은 무과금 해도 안 힘들다하는 Rpg 게임 추천 해주세요
취미,게임,
취미,게임,"제가 지금 쓰고있는 닌텐도 스위치를 동생한테 주고 저는 새로 사려고 하는데요. 기존 스위치에 칩 말고 다운로드 받은 게임이 많은데 이 게임 진행한 것들 sd카드에 옮기서 다른 닌텐도스위치에서 하면 게임 진행했던거 다 그대로 있나요?

그리고 칩있는 게임들은 다른기기에 칩 꽂아도 했던거 그대로 있나요?"
취미,게임,
취미,게임,"엑스박스 게임패스 끊어서 플레이하면 게임 다운로드는 못 받나요?
오프라인에서 못하는 건가요??"
취미,게임,
취미,게임,
취미,게임,"플스 대표게임 언차티드를 해보고 싶어서 플스5 디지털 버전으로 구매했어요

근데 플스5 실행했는데 플스스토어에 언차티드가 없네요 검색도 안되고...

1. 플스5 디지털버전으로 언차티드 플레이 가능한거예요??

2. 정기구독?? 그런것도 있는데 꼭 가입을 해야 디지털 버전 제대로 즐길 수 있나요??
   정기구독 안하면 제한이 있는걸가요...ㅠㅠ

3. 라스트오브어스 같은 스토리 좋은 게임 추천 좀 부탁합니다.

 "
취미,게임,
취미,게임,얼마전에 게임이 없어져서 혹시나 해서 들어갔더니 게임런처 내 게임 에 있더라구요 그때만 그런거겠지 했는데 게임을 깔거나 업데이트를 하고 나면 계속 게임런처에 가있더라구요····· 이거 게임 런처에 이동 안되게 할수는 없나요????
취미,게임,
취미,게임,모바일게임이 압도적으로 이용자수가 많은데 그 이유가 휴대하기쉽고 폰만있으면 되기때문이기도 하지만 이 한가지 이유만으로 모바일게임이 더인기있다고 할순없고  먼가 콘솔이나 온라인게임보다 더매력적인 이유가 있다면 뭘까요? 
취미,게임,
취미,게임,
취미,게임,알려줘세요. 닌텐도 게임의 개념을 무슨개념이냐면 닌텐도 게임도 서비스 종료라는 개념이 있나요? 그리고 서비스종료가있다면 게임칩 왜있는건가요? 서비스종료를 할경우 게임칩은 버려야 하나요?
취미,게임,
취미,게임,둘이서 할 재밌는 보드게임 추천 해주세요
취미,게임,"안녕하세요 저는 왠만한 게임 다 해봤는데
여자친구는 살면서 게임을 아예 안 하고 살았다고 해서
같이 게임은 해보고싶긴한데 롤을 알려주기엔 싫고 해서
Rpg나 다른 게임 있으면 추천 한 번 해주세요 !
둘 다 성인이기는 한데 유료게임은 좀 그래서
무료로 즐길 수 있는 게임이면 좋겠습니다"
취미,게임,
취미,게임,
취미,게임,플스5와 게임을 오늘 샀는데 게임이 이런식으로 나오는데 이건 Cd형식이 아니라 플스가 오면 다운로드 받는 형식인건가요?
취미,게임,
취미,게임,한국정발 스위치로 해외 게임 돌리면 한국어로 나오고 잘 돌아가나요? 그리고 만약 돌아간다고 해도 한국 게임으로 돌릴때와 차이점이 있나요? 단점도 있으면 말해주세요
취미,게임,"마도조사나 천관사복 인사반파는 공식게임 없는것 같던데, 그러면 팬게임 없나요?? 있으면 몇개 링크 주세요ㅠㅠ"
취미,게임,전에 카카오톡 안에서 게임을 할 수 잇엇는데 카카오 클래시로얄이랑 퍼즐게임 등등 잇엇던 거 같은데 사라졋나요?
취미,게임,
취미,게임,
취미,게임,"”친모아“라던가 ”모동숲“이라던가 비슷한 게임 있나요?
옷 입히고 꾸미고 대화하거나 그런 게임을 좋아하는데..
추천해주실만한거 있나요?
친모아 (친구모아아파트)
모동숲 (모여봐요 동물의 숲)"
취미,게임,
취미,게임,
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,"6인이상 단체로 할수 있고 재밌는 보드게임좀
추천바랍니다."
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,
취미,게임,xbox 게임패스 얼티밋를사서 그계정으로 xbox콘솔로 접속하면게임패스게임은 다돼는건가요?xbox콘솔에 계정로그인이 있나요?
취미,게임,미니게임천국 게임점검시간 16:30 지났는데 왜 안되죠..? 저만 안되는건가요? 로딩만 되고있네요ㅠㅠ
취미,게임,
취미,게임,재가 곳 현장 체험 학습을 가는데 보드 게임 하고 가지고 가려고 하거든요 근데 제가 원하는게임을 못 찾겠어요 제가 원하는 보드 게임은 작은데 가운데 빨간색 네모난 블록 바깥으로 내보내는 게임이에요 혹시 찾으면 링크 남겨 주세요
취미,게임,
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,"오락실게임만 되는 조이스틱이
따로 있나요?
아무 조이스틱사면 오락실게임 할수 있나요?"
취미,게임,"안녕하세요 제가 친구들이랑 사진에있는 오락게임을했는데
2번 연속이기면 계속 노출이 심한 야한사진이나와요…
이 게임 왜 그러는지 아시나요…??"
취미,게임,"CPU : AMD 라이젠 5 3500X
그랙픽 : 라데온 RX 570
램 : DDR 48G
메인보드 : ASUS EX A 320 M - GAMING
SSD : WD GREEN 250 GB
이정도 사양 게임 돌아갈까요?
중고 살까 고민 중인데 컴퓨터를 잘 몰라서요
게임이 잘 돌아가려면 어떤 컴을 사야 할지요?"
취미,게임,엑스박스게임패스를 1000원짜리14일처음구독하면 pc로 포르자호라이즌을 할수있나요  게임내용은 저장되나요 스팀에서 포호를사면 게임패스에서하던게임내용을 연동할수있나요
취미,게임,
취미,게임,
취미,게임,"피시나 콘솔 없이 컨트롤러로 휴대폰으로 사용중인데
엑스박스 게임패스에 등록된 게임 아니면 못하나요?
피시에서 다운 받고 모바일 게임패스로 불러와서 플레이 가능하나요?"
취미,게임,
취미,게임,옛날에 많이 했던 게임인데 일단 박스는 한 손으로 들 수 있을정도로 작고 조선시대 컨셉 카드 게임이였는데 룰이 카드를 나눠 갖고 카드를 시계방향으로 돌면서 내는 거였는데 카드마다 능력이 있고 마지막으로 왕 카드를 들고 있는 사람이 이기는 게임이예요 찾아주실 분 있나요ㅠ
취미,게임,
취미,게임,
취미,게임,"안녕하세요 뇌성장에 도움 되는 보드게임이 있나요?
급해요.."
취미,게임,"이번에 삼성티비를 구매하게 됐는데요, 삼성 자체 게임?인 게임패스를 이용할 수 있다고 해서 게임하려고 하는데 조이스틱을 별도로 구매해야한다고 하더라구요.

1. 조이스틱 어떤거 사는 게 좋나요?

2. 닌텐도 위처럼 운동도 하고 춤도 추는 게임하고 싶은데
닌텐도 위 말고 다른 게임기기? 는 없나요? 제가 아는건 플스 밖에 없네요ㅠ 근데 플스도 춤추고 운동하는 건 없는 거 같아서요ㅠㅠ

제가 이 분야는 완전 무지해서 추천과 답변 부탁드립니다!!"
취미,게임,
취미,게임,"모바일 콘솔 pc 게임에 밀려서 오락실게임은 이제 아케이드성게임은 사라지고 , 레이싱휠이 장착된 자동차게임 오토바이게임 건슈팅게임 이런걸로 승부를 보나요? 최신철권게임은 있죠? "
취미,게임,요즘 스팀에 플스게임이라던지 엑박게임이보이던데 스팀에서만 할수있는 게임이 있을까요? 제가 플스가 따로잇어서 스팀에서 굳이 플스을 사고싶지않아서요...
취미,게임,"신규 게임 제작 중이고 다음해 출시 예정입니다.
연동방식이 좀 특이해서 특허를 받고 싶은데 게임특허는 성공률이 엄청 낮다는데 사실인가요?
그래도 도전은 해보고 싶은데... 성공률 높이는 비법 좀 공유 부탁드립니다."
취미,게임,남친이랑 발로란트밖에 안 하는데 남친이 딴 게임하고 싶다고 하는데 게임 추천 좀 해주세요 스팀게임도 괜찮고 다 괜찮아요
취미,게임,
